,Gemeinde,Energiequelle,Anzahl
122,Dübendorf,,1871
123,Glarus,Heizöl,1860
124,Fribourg,Gas,1859
125,Oftringen,,1856
126,Yverdon-les-Bains,Gas,1847
127,Capriasca,,1837
128,Sierre,Gas,1831
129,Montreux,,1819
130,Aarau,Heizöl,1816
131,Verzasca,,1815
132,Grabs,,1800
133,Saanen,Heizöl,1795
134,Bex,,1776
135,Binningen,Keine,1774
136,Sumiswald,,1765
137,Baden,,1758
138,Binningen,Gas,1754
139,Lausanne,Fernwärme,1750
140,Illnau-Effretikon,,1745
141,Wohlen (AG),,1744
142,Gossau (ZH),,1742
143,Wil (SG),Heizöl,1735
144,Münchenstein,Gas,1727
145,Faido,,1700
146,Val-de-Ruz,Heizöl,1698
147,Blonay - Saint-Légier,Gas,1697
148,Arth,,1695
149,Wohlen bei Bern,,1691
150,Burgdorf,Gas,1680
151,Frauenfeld,Heizöl,1658
152,Illnau-Effretikon,Heizöl,1656
153,Kloten,Heizöl,1651
154,Burgdorf,,1650
155,Plaffeien,,1650
156,Kriens,Heizöl,1635
157,Baar,Heizöl,1632
158,Flums,,1615
159,Nendaz,Elektrizität,1609
160,Baden,Heizöl,1605
161,Rothrist,,1602
162,Aesch (BL),Keine,1599
163,Savièse,,1598
164,Reinach (BL),Heizöl,1595
165,Gambarogno,Heizöl,1587
166,Zurzach,,1586
167,Capriasca,Heizöl,1583
168,Schwyz,Heizöl,1581
169,Brienz (BE),,1578
170,Riviera,,1577
171,Gambarogno,,1575
172,Amriswil,,1573
173,Lyss,,1569
174,Acquarossa,,1569
175,Wald (ZH),,1568
176,Sennwald,,1566
177,Zweisimmen,,1559
178,Anniviers,Elektrizität,1547
179,Riehen,Keine,1546
180,Ollon,Gas,1543
181,Zofingen,,1540
182,Bauma,,1539
183,Wetzikon (ZH),Gas,1539
184,Wohlen (AG),Gas,1538
185,Hinwil,,1536
186,Zug,,1534
187,Meiringen,,1533
188,Glarus Süd,Heizöl,1533
189,Münsingen,Heizöl,1532
190,Worb,,1522
191,Wädenswil,Heizöl,1520
192,Lavizzara,,1507
193,Aarau,Gas,1507
194,Château-d'Oex,,1506
195,Courtepin,,1503
196,Wil (SG),Gas,1502
197,Steffisburg,Heizöl,1501
198,Schwende-Rüte,Keine,1501
199,Stäfa,,1498
200,Uzwil,,1495
201,Riehen,Fernwärme,1485
202,Belp,,1485
203,Uzwil,Gas,1484
204,Lützelflüh,,1484
205,Lugano,Unbestimmt,1477
206,Dübendorf,Gas,1469
207,Chur,Heizöl,1467
208,Kerns,,1464
209,Biasca,,1464
210,Maur,Heizöl,1462
211,Flawil,,1462
212,Langenthal,,1456
213,Blenio,,1455
214,Boltigen,,1452
215,Altstätten,Heizöl,1451
216,Pratteln,Gas,1451
217,Blonay - Saint-Légier,,1450
218,Buchs (SG),,1446
219,Belmont-Broye,,1445
220,Mosnang,,1442
221,Kreuzlingen,Heizöl,1441
222,Zug,Heizöl,1440
223,Wettingen,,1440
224,Dübendorf,Heizöl,1438
225,Adelboden,,1435
226,Innertkirchen,,1434
227,St. Gallen,Fernwärme,1434
228,Monteceneri,,1427
229,Kreuzlingen,,1424
230,Gossau (SG),,1423
231,Beromünster,,1411
232,Küsnacht (ZH),Heizöl,1400
233,Worb,Heizöl,1397
234,Bülach,,1395
235,Luzern,Keine,1392
236,Glarus Süd,Keine,1390
237,Wiesendangen,,1387
238,Küsnacht (ZH),,1387
239,Bülach,Heizöl,1385
240,Möhlin,Heizöl,1383
241,Silenen,,1381
242,Volketswil,,1376
243,Romanshorn,,1375
244,Baar,,1372
245,Bulle,Heizöl,1372
246,Eggiwil,,1371
247,Chalais,,1369
248,Wädenswil,Gas,1367
249,Therwil,Keine,1364
250,Oberwil (BL),Gas,1363
251,Delémont,,1358
252,Châtel-Saint-Denis,,1356
253,Villmergen,,1356
254,Bäretswil,,1350
255,Bellinzona,Holz,1346
256,Vernier,Gas,1345
257,Herisau,Gas,1334
258,Bütschwil-Ganterschwil,,1332
259,Sissach,Keine,1331
260,Oberriet (SG),Heizöl,1330
261,Gränichen,,1330
262,Lugano,Elektrizität,1329
263,Rheinfelden,,1328
264,Val-de-Travers,Heizöl,1316
265,Hasliberg,,1314
266,Reinach (AG),Heizöl,1313
267,Val-de-Charmey,,1312
268,Münsingen,,1309
269,Reichenbach im Kandertal,,1309
270,Moutier,Heizöl,1307
271,Hinwil,Heizöl,1303
272,Liestal,Gas,1302
273,Diemtigen,,1302
274,Weinfelden,Gas,1299
275,Meilen,,1296
276,Wohlen (AG),Heizöl,1293
277,Belp,Heizöl,1291
278,La Grande Béroche,Heizöl,1290
279,Zug,Gas,1290
280,Gommiswald,,1284
281,Kreuzlingen,Gas,1283
282,Arlesheim,Keine,1281
283,Locarno,Heizöl,1279
284,Küssnacht (SZ),,1278
285,Brig-Glis,Heizöl,1278
286,Klosters,Heizöl,1277
287,Thal,,1275
288,Haute-Sorne,Heizöl,1269
289,La Chaux-de-Fonds,Gas,1269
290,Giswil,Keine,1266
291,Le Mouret,,1261
292,Wartau,,1261
293,Aadorf,,1260
294,Freienbach,Heizöl,1258
295,Herzogenbuchsee,,1258
296,Gurmels,,1254
297,Goms,,1250
298,Bassersdorf,Heizöl,1249
299,Montreux,Heizöl,1247
300,Lyss,Heizöl,1246
301,Reiden,,1246
302,Muri bei Bern,Heizöl,1244
303,Regensdorf,Heizöl,1240
304,Grindelwald,Heizöl,1238
305,Savièse,Heizöl,1235
306,Pfäffikon,Heizöl,1235
307,Zollikon,Heizöl,1232
308,Glarus Nord,Holz,1228
309,Guggisberg,,1228
310,Sins,,1227
311,Rapperswil-Jona,Heizöl,1226
312,Centovalli,,1226
313,Delémont,Gas,1225
314,Genève,,1222
315,Dietikon,,1219
316,Diepoldsau,,1214
317,Fraubrunnen,,1212
318,Quarten,,1211
319,Adelboden,Heizöl,1210
320,Val de Bagnes,Heizöl,1210
321,Lutry,Heizöl,1210
322,Marly,,1209
323,Therwil,Gas,1203
324,Wil (SG),,1202
325,Zurzach,Heizöl,1201
326,Egg,Heizöl,1201
327,Walenstadt,,1199
328,Val-de-Ruz,Gas,1195
329,Moutier,,1194
330,Möhlin,,1191
331,Herisau,Heizöl,1186
332,Gränichen,Heizöl,1185
333,Val Terbi,,1185
334,Aesch (BL),Gas,1183
335,Meilen,Heizöl,1183
336,Crans-Montana,Heizöl,1183
337,Veyrier,Heizöl,1175
338,Fribourg,Heizöl,1174
339,Muri bei Bern,,1171
340,Porrentruy,,1171
341,Reinach (AG),,1171
342,Richterswil,Gas,1171
343,Lancy,Gas,1170
344,Nendaz,Heizöl,1170
345,Stäfa,Gas,1166
346,Münchenbuchsee,Heizöl,1164
347,Hombrechtikon,,1161
348,Rothrist,Heizöl,1160
349,Niederbipp,,1159
350,Uster,Heizöl,1157
351,Horw,Heizöl,1157
352,Horgen,Heizöl,1152
353,Arbon,Heizöl,1152
354,Arlesheim,Gas,1149
355,Gambarogno,Elektrizität,1147
356,Laufen,Keine,1147
357,Mels,Heizöl,1146
358,Küssnacht (SZ),Heizöl,1146
359,Crans-Montana,Gas,1146
360,Suhr,,1142
361,Birsfelden,Keine,1142
362,Flums,Heizöl,1133
363,Burgdorf,Heizöl,1130
364,Mont-Vully,,1130
365,Gossau (ZH),Heizöl,1129
366,Gelterkinden,Keine,1128
367,Zofingen,Heizöl,1127
368,Weinfelden,,1126
369,Arth,Heizöl,1125
370,Thalwil,Gas,1124
371,Hasle bei Burgdorf,,1124
372,Luzein,,1123
373,Payerne,,1122
374,Regensdorf,,1120
375,Wetzikon (ZH),Heizöl,1120
376,Schänis,,1120
377,Wallisellen,Gas,1118
378,Lenzburg,,1117
379,Vechigen,,1113
380,Balsthal,Heizöl,1113
381,Ostermundigen,,1112
382,Val de Bagnes,Holz,1108
383,Thayngen,,1107
384,Bubikon,,1107
385,Oftringen,Heizöl,1107
386,Wald (ZH),Heizöl,1105
387,Affoltern am Albis,Heizöl,1105
388,Brugg,Gas,1099
389,Muttenz,Heizöl,1098
390,Muotathal,,1094
391,Sion,Heizöl,1093
392,Yverdon-les-Bains,Heizöl,1092
393,Huttwil,,1090
394,Niederhasli,Heizöl,1090
395,Gossau (SG),Heizöl,1088
396,Maur,,1088
397,Thalwil,Heizöl,1087
398,Widnau,Heizöl,1086
399,St. Moritz,Heizöl,1082
400,Adliswil,Heizöl,1078
401,Diepoldsau,Heizöl,1078
402,Ostermundigen,Heizöl,1076
403,Niederhasli,,1076
404,Cham,,1070
405,Egg,,1070
406,Ollon,Heizöl,1070
407,Flühli,,1070
408,Le Chenit,,1068
409,Bourg-en-Lavaux,,1067
410,Oberentfelden,,1064
411,Widnau,,1061
412,Rüti (ZH),Heizöl,1059
413,Saanen,Holz,1059
414,Uetendorf,,1058
415,Stäfa,Heizöl,1057
416,Riggisberg,,1057
417,Oberdiessbach,,1054
418,Nyon,Gas,1052
419,Konolfingen,,1051
420,Grenchen,Heizöl,1049
421,Amriswil,Heizöl,1048
422,Veyrier,Gas,1047
423,Scuol,Keine,1046
424,Sevelen,,1045
425,Zollikofen,,1045
426,Chêne-Bougeries,Gas,1045
427,Würenlos,Heizöl,1045
428,Aigle,,1043
429,Steffisburg,Gas,1043
430,Vaz/Obervaz,Heizöl,1043
431,Egnach,,1042
432,Küsnacht (ZH),Gas,1041
433,Gams,,1041
434,Dietikon,Heizöl,1035
435,Delémont,Heizöl,1035
436,Volketswil,Heizöl,1033
437,Ebikon,Heizöl,1031
438,Buchs (AG),,1030
439,Sumvitg,,1029
440,Oberuzwil,,1023
441,Triengen,,1022
442,Baden,Gas,1020
443,Collonge-Bellerive,Gas,1020
444,Orsières,,1018
445,Hitzkirch,,1018
446,Gossau (SG),Gas,1017
447,Sachseln,Keine,1016
448,Brugg,Keine,1014
449,Wünnewil-Flamatt,,1013
450,Köniz,Gas,1013
451,Lauperswil,,1013
452,Altdorf (UR),,1011
453,Plan-les-Ouates,Gas,1011
454,Evolène,,1011
455,Faido,Holz,1011
456,Murten,Heizöl,1009
457,Hombrechtikon,Heizöl,1006
458,Biel/Bienne,,1001
459,Seuzach,,1000
460,Kölliken,,1000
461,Pully,Gas,994
462,St. Stephan,,992
463,Ittigen,Heizöl,991
464,Brugg,Heizöl,990
465,Neftenbach,,990
466,Lenzburg,Gas,989
467,Unterägeri,Keine,988
468,Lutry,,986
469,Faido,Elektrizität,986
470,Langenthal,Keine,985
471,Oberbüren,Keine,985
472,Wynigen,,985
473,Cheyres-Châbles,,985
474,Dornach,Gas,984
475,Pully,Heizöl,983
476,Domat/Ems,Heizöl,982
477,Flawil,Gas,982
478,Vilters-Wangs,,979
479,Wimmis,,979
480,Teufen (AR),Heizöl,979
481,Sigriswil,Heizöl,978
482,Menziken,,977
483,Dürnten,,973
484,Locarno,,973
485,Pully,,972
486,Mühleberg,,970
487,Neuenegg,,969
488,Münchenbuchsee,,969
489,Utzenstorf,,968
490,Amden,,966
491,Airolo,,964
492,Frutigen,Heizöl,962
493,Muri bei Bern,Gas,961
494,Rüti (ZH),,961
495,Haut-Intyamon,,960
496,Rüschegg,,958
497,Basel,,958
498,Olten,Heizöl,957
499,Lenk,Keine,957
500,Dottikon,,956
501,Urnäsch,,955
502,Madiswil,,954
503,Troistorrents,Heizöl,952
504,Albula/Alvra,,951
505,Bottmingen,Keine,951
506,Le Mont-sur-Lausanne,,950
507,Pfäfers,,949
508,Langnau im Emmental,Heizöl,948
509,Gaiserwald,Heizöl,946
510,Balsthal,,945
511,Wittenbach,Heizöl,945
512,Saint-Imier,,943
513,Bernex,Heizöl,942
514,Ormont-Dessus,,942
515,Oron,,942
516,Ascona,Heizöl,941
517,Affoltern am Albis,,941
518,Rüegsau,,941
519,Schübelbach,,941
520,Anniviers,Heizöl,940
521,Kerzers,,940
522,Neuenkirch,,939
523,Bad Ragaz,Heizöl,938
524,Muri (AG),,938
525,Dietikon,Gas,937
526,Naters,Heizöl,937
527,Aigle,Gas,936
528,Fully,Unbestimmt,936
529,Winterthur,Fernwärme,935
530,Aarburg,,935
531,Goldach,,933
532,Menziken,Heizöl,932
533,Bolligen,Heizöl,930
534,Trub,,929
535,Russikon,,928
536,Epalinges,,925
537,Böztal,,925
538,Bremgarten (AG),,924
539,Pfäffikon,Keine,923
540,Seedorf (BE),,923
541,Buchs (SG),Fernwärme,922
542,Hérémence,,922
543,Kloten,,922
544,Sainte-Croix,,921
545,Collombey-Muraz,Gas,920
546,Windisch,,919
547,Lausen,Keine,919
548,Richterswil,,918
549,Degersheim,,918
550,Teufen (AR),,918
551,Amriswil,Gas,917
552,Bulle,Fernwärme,917
553,Le Locle,Heizöl,917
554,Milvignes,Gas,917
555,Sarnen,,916
556,Rümlang,,916
557,Seuzach,Heizöl,916
558,Biberist,Gas,916
559,Volketswil,Gas,915
560,Lauterbrunnen,Heizöl,915
561,Uetendorf,Heizöl,915
562,Gelterkinden,Heizöl,915
563,Olten,,915
564,Schübelbach,Heizöl,914
565,Zürich,,913
566,Au (SG),,912
567,Arosa,Holz,912
568,Fischenthal,,912
569,Oberwil im Simmental,,911
570,Beatenberg,,910
571,Erlenbach im Simmental,,910
572,Losone,Heizöl,909
573,Zollikofen,Heizöl,909
574,Cham,Heizöl,909
575,Waldkirch,,908
576,Renens (VD),Gas,907
577,Kriens,Gas,907
578,Tramelan,,906
579,Bolligen,,905
580,Rüeggisberg,,905
581,St. Gallen,Unbestimmt,905
582,Leuk,Keine,905
583,Unterägeri,Heizöl,904
584,Glarus Süd,Elektrizität,903
585,Hergiswil bei Willisau,,902
586,Rheinfelden,Gas,898
587,Reichenbach im Kandertal,Holz,898
588,Sarnen,Heizöl,897
589,Estavayer,Heizöl,892
590,Adliswil,,892
591,La Tour-de-Peilz,Gas,891
592,St. Margrethen,,890
593,Meiringen,Heizöl,890
594,Nendaz,Holz,890
595,Villars-sur-Glâne,,890
596,Vernier,Heizöl,889
597,Valbirse,,889
598,Payerne,Heizöl,889
599,Minusio,Heizöl,888
600,Vully-les-Lacs,,887
601,Vétroz,,883
602,Sissach,Heizöl,883
603,Opfikon,,883
604,Embrach,Heizöl,883
605,Bern,Fernwärme,880
606,Habkern,,879
607,Obersiggenthal,Heizöl,879
608,Derendingen,Gas,878
609,Bottmingen,Gas,878
610,Wängi,,877
611,Horgen,Gas,876
612,Cevio,,875
613,Heimiswil,,875
614,Seon,,874
615,Zermatt,Heizöl,873
616,Zell (ZH),,872
617,Bassersdorf,,871
618,Le Chenit,Heizöl,868
619,Allschwil,Heizöl,868
620,Oberägeri,,868
621,Collonge-Bellerive,Heizöl,868
622,Glarus Nord,Keine,868
623,Courrendlin,,867
624,Freienbach,Keine,867
625,Sursee,,867
626,Bischofszell,,867
627,Kaltbrunn,,867
628,Heimberg,,866
629,Flims,Heizöl,866
630,Tujetsch,,865
631,Romanshorn,Heizöl,864
632,Solothurn,Heizöl,863
633,Unterseen,,863
634,Bubendorf,Keine,862
635,Wohlen bei Bern,Heizöl,862
636,Nyon,Heizöl,858
637,Orbe,,858
638,Buchs (SG),Heizöl,858
639,Gsteig,,858
640,Signau,,857
641,Eschenbach (SG),Heizöl,857
642,Nendaz,Unbestimmt,856
643,Richterswil,Heizöl,856
644,Hohenrain,,855
645,Menznau,,852
646,Widnau,Gas,852
647,Thônex,Heizöl,851
648,Romanshorn,Gas,847
649,Willisau,Heizöl,845
650,Monteceneri,Heizöl,843
651,Blonay - Saint-Légier,Heizöl,843
652,Vuisternens-devant-Romont,,842
653,Kirchberg (BE),,842
654,Murgenthal,,840
655,Muri (AG),Heizöl,840
656,Embrach,,840
657,Fischingen,,839
658,Turbenthal,,839
659,Altdorf (UR),Heizöl,838
660,Schmitten (FR),,837
661,Neuhausen am Rheinfall,Gas,837
662,Sursee,Heizöl,837
663,Schwarzenburg,Heizöl,837
664,Rapperswil (BE),,836
665,Arosa,Heizöl,836
666,Wallisellen,,836
667,Würenlingen,Fernwärme,835
668,Grône,,834
669,Tresa,,833
670,Wittenbach,,832
671,Interlaken,,832
672,Meyrin,Heizöl,831
673,Landquart,Heizöl,830
674,Grosshöchstetten,,830
675,Valbroye,,830
676,Kilchberg (ZH),Heizöl,830
677,Ingenbohl,,829
678,Glattfelden,,826
679,Bex,Gas,826
680,Villmergen,Heizöl,824
681,Opfikon,Heizöl,824
682,Männedorf,Gas,823
683,Brittnau,,822
684,Oberburg,,821
685,Orsières,Elektrizität,821
686,Köniz,Unbestimmt,820
687,Lachen,Heizöl,819
688,Ittigen,,818
689,Au (SG),Heizöl,818
690,Lancy,Heizöl,817
691,Lausen,Gas,816
692,Bubikon,Heizöl,815
693,Küttigen,Heizöl,815
694,Grossaffoltern,,813
695,Gibloux,Heizöl,813
696,Courroux,,811
697,Beringen,,811
698,Lenk,,810
699,Appenzell,Heizöl,809
700,Frenkendorf,Keine,809
701,Lauenen,,807
702,Laufenburg,,807
703,Tresa,Heizöl,805
704,Willisau,,804
705,Mesocco,Elektrizität,803
706,Niederbipp,Heizöl,802
707,Roggwil (BE),Heizöl,802
708,Château-d'Oex,Heizöl,802
709,Châtel-Saint-Denis,Heizöl,800
710,Vevey,Gas,800
711,Porrentruy,Heizöl,799
712,Quinto,,799
713,Tramelan,Heizöl,799
714,Zofingen,Gas,799
715,Bex,Heizöl,798
716,Obersiggenthal,,798
717,Aarwangen,,797
718,Val-de-Travers,Gas,796
719,Wangen-Brüttisellen,,795
720,Morges,Gas,795
721,Naters,Elektrizität,794
722,Ardon,,793
723,Heimberg,Heizöl,793
724,Meilen,Gas,793
725,Adliswil,Gas,791
726,Gurtnellen,,790
727,Uznach,,790
728,Hochdorf,Heizöl,790
729,Birmensdorf (ZH),Heizöl,789
730,Brienz (BE),Heizöl,789
731,Goldach,Heizöl,787
732,Hünenberg,,787
733,Rüti (ZH),Gas,785
734,Uitikon,Heizöl,785
735,Seewis im Prättigau,,785
736,Jegenstorf,,784
737,Collina d'Oro,Heizöl,782
738,Nürensdorf,,782
739,Benken (SG),,782
740,Altendorf,,781
741,Fällanden,,781
742,Grosswangen,,781
743,Scuol,Elektrizität,781
744,Frick,,781
745,Huttwil,Heizöl,780
746,Therwil,Heizöl,780
747,Langnau am Albis,Heizöl,779
748,Wettswil am Albis,Heizöl,778
749,Grüsch,,778
750,Möriken-Wildegg,,778
751,Zollikon,,777
752,Bösingen,,775
753,Turtmann-Unterems,,775
754,Tafers,Unbestimmt,775
755,Baar,Gas,774
756,Münchenstein,Heizöl,773
757,Clos du Doubs,,772
758,Carouge (GE),Gas,772
759,Rickenbach (LU),,771
760,Seon,Heizöl,770
761,Schüpfen,,770
762,Aadorf,Heizöl,770
763,Galgenen,,769
764,Vechigen,Heizöl,769
765,Valbirse,Heizöl,768
766,Gontenschwil,,768
767,Roggwil (BE),,767
768,Wangen-Brüttisellen,Heizöl,766
769,Bourg-en-Lavaux,Heizöl,766
770,Avenches,,766
771,Schinznach,,765
772,Rothrist,Unbestimmt,762
773,Liestal,Heizöl,761
774,Binningen,Heizöl,761
775,Sirnach,Gas,761
776,Füllinsdorf,Keine,761
777,Elgg,,761
778,Langnau im Emmental,Holz,761
779,Kemmental,,759
780,Zumikon,Heizöl,758
781,Sirnach,,758
782,Langnau am Albis,,756
783,Oberwil (BL),Heizöl,756
784,Dürnten,Heizöl,755
785,Montagny (FR),,754
786,Laufen,Heizöl,754
787,Würenlos,,750
788,Suhr,Heizöl,750
789,Würenlingen,,749
790,Hägendorf,,749
791,Urdorf,Heizöl,748
792,Wollerau,Heizöl,747
793,Berneck,,747
794,Hemberg,,745
795,Nyon,,745
796,Meggen,,744
797,Terre di Pedemonte,,744
798,Tavannes,,744
799,Ilanz/Glion,Holz,744
800,Mettauertal,,744
801,Reiden,Heizöl,742
802,Engelberg,Heizöl,741
803,Le Locle,Gas,740
804,Schönenwerd,Heizöl,740
805,Evolène,Holz,740
806,Pratteln,Heizöl,739
807,Kaisten,,738
808,Wildhaus-Alt St. Johann,Heizöl,738
809,Liestal,Fernwärme,738
810,Schwende-Rüte,Heizöl,736
811,Jonschwil,,734
812,Ormont-Dessus,Heizöl,734
813,Untersiggenthal,Heizöl,733
814,Biberist,Heizöl,732
815,Thalwil,Keine,732
816,Safenwil,,732
817,Appenzell,Keine,731
818,Escholzmatt-Marbach,Holz,731
819,Risch,,730
820,Tafers,Heizöl,730
821,Gordola,Heizöl,730
822,Gambarogno,Unbestimmt,730
823,Luthern,,729
824,Bois-d'Amont,,729
825,Misery-Courtion,,729
826,Hägendorf,Heizöl,728
827,Ehrendingen,Heizöl,727
828,Biasca,Heizöl,727
829,Glarus Nord,Unbestimmt,726
830,Fraubrunnen,Heizöl,725
831,Unterschächen,,725
832,Aarwangen,Heizöl,725
833,Merenschwand,,724
834,Unterseen,Heizöl,724
835,Aeschi bei Spiez,,723
836,Entlebuch,,723
837,Küssnacht (SZ),Unbestimmt,722
838,Frutigen,Holz,720
839,Hallau,,720
840,Rüderswil,,720
841,Gais,,720
842,Lyss,Gas,719
843,Suhr,Gas,719
844,Untersiggenthal,,719
845,Gryon,Heizöl,719
846,Ayent,Heizöl,718
847,Faido,Heizöl,718
848,Vallorbe,,718
849,Linden,,718
850,Flawil,Heizöl,716
851,Herzogenbuchsee,Gas,716
852,Sargans,,715
853,Ins,,715
854,Oberägeri,Heizöl,715
855,Männedorf,Heizöl,715
856,Kallnach,,715
857,Oberentfelden,Heizöl,715
858,Wiesendangen,Heizöl,714
859,Siviriez,,714
860,Martigny,Gas,714
861,Niederlenz,,714
862,Aadorf,Gas,713
863,Meggen,Heizöl,713
864,Herrliberg,,712
865,Zuchwil,Gas,712
866,Schöftland,,712
867,Poschiavo,Holz,712
868,Winterthur,Holz,711
869,Walenstadt,Heizöl,711
870,Cugnasco-Gerra,,710
871,Sargans,Heizöl,709
872,Thal,Heizöl,708
873,Rupperswil,,708
874,Horgen,Unbestimmt,707
875,Gibloux,Unbestimmt,707
876,Montanaire,,707
877,Krauchthal,,707
878,La Roche,,706
879,Birmensdorf (ZH),,706
880,Conthey,Holz,705
881,Chêne-Bougeries,Heizöl,704
882,Aesch (BL),Heizöl,704
883,Milvignes,Heizöl,702
884,Port-Valais,,702
885,Hofstetten-Flüh,Heizöl,700
886,Zollikon,Gas,699
887,Niederhelfenschwil,,698
888,Bätterkinden,,698
889,Neuenegg,Heizöl,697
890,Prez,,697
891,Langenthal,Heizöl,695
892,Röthenbach im Emmental,,694
893,Ormont-Dessous,,694
894,Walkringen,,694
895,Wettingen,Gas,694
896,Herrliberg,Heizöl,694
897,Muri bei Bern,Keine,693
898,Einsiedeln,Holz,693
899,Morges,,691
900,Strengelbach,,691
901,Berikon,Heizöl,691
902,Rorschacherberg,,691
903,Quarten,Heizöl,690
904,Verzasca,Holz,690
905,Bauma,Heizöl,690
906,Orbe,Gas,689
907,Bremgarten bei Bern,,689
908,Zwingen,Keine,689
909,Elsau,,688
910,Schlieren,Heizöl,688
911,Nesslau,Holz,688
912,Zürich,Luft,688
913,Gruyères,,687
914,Martigny,Heizöl,687
915,Küttigen,,687
916,Saignelégier,,687
917,Boswil,,686
918,Uzwil,Heizöl,686
919,Schönenwerd,,686
920,Romont (FR),,685
921,Neuhausen am Rheinfall,Heizöl,685
922,Schwende-Rüte,Holz,685
923,Lenk,Heizöl,685
924,Vilters-Wangs,Heizöl,684
925,Anniviers,Holz,684
926,Altstätten,Holz,684
927,Biel-Benken,Keine,683
928,Aarberg,,683
929,Sarnen,Unbestimmt,683
930,Matten bei Interlaken,,683
931,Caslano,Heizöl,683
932,La Chaux-de-Fonds,Fernwärme,683
933,Conthey,Heizöl,682
934,Birsfelden,Gas,682
935,La Baroche,,682
936,Einsiedeln,Unbestimmt,681
937,Gommiswald,Heizöl,680
938,Wängi,Heizöl,680
939,Altstätten,Gas,679
940,Bergün Filisur,,679
941,Zell (ZH),Heizöl,679
942,Neuhausen am Rheinfall,,678
943,Kradolf-Schönenberg,,678
944,Lindau,,678
945,Ecublens (VD),,678
946,Grüningen,,677
947,Münchwilen (TG),,676
948,Bürglen (UR),,675
949,Obfelden,,675
950,Gebenstorf,,675
951,Val de Bagnes,Unbestimmt,674
952,Val-d'Illiez,Heizöl,674
953,Ormont-Dessous,Holz,674
